Date,Open,High,Low,Close*,Adj Close**,Volume
"Aug 14, 2019","1,176.07","1,182.79","1,161.07","1,164.25","1,164.25","1,771,500"
"Aug 13, 2019","1,174.35","1,205.43","1,172.99","1,196.73","1,196.73","1,421,700"
"Aug 12, 2019","1,180.00","1,185.61","1,168.72","1,174.50","1,174.50","1,103,200"
"Aug 09, 2019","1,199.99","1,204.46","1,184.89","1,188.90","1,188.90","1,020,900"
"Aug 08, 2019","1,186.43","1,206.28","1,174.00","1,206.19","1,206.19","1,505,800"
"Aug 07, 2019","1,157.80","1,179.87","1,150.84","1,175.91","1,175.91","1,534,300"
"Aug 06, 2019","1,165.52","1,181.40","1,161.53","1,171.08","1,171.08","1,800,700"
"Aug 05, 2019","1,172.97","1,176.88","1,142.75","1,154.75","1,154.75","2,392,000"
"Aug 02, 2019","1,203.00","1,209.50","1,190.00","1,196.32","1,196.32","1,745,500"
"Aug 01, 2019","1,217.63","1,236.30","1,207.00","1,211.78","1,211.78","1,771,300"
"Jul 31, 2019","1,224.87","1,234.91","1,208.18","1,218.20","1,218.20","1,998,000"
"Jul 30, 2019","1,227.00","1,236.91","1,225.32","1,228.00","1,228.00","1,430,800"
"Jul 29, 2019","1,242.50","1,248.99","1,230.20","1,241.84","1,241.84","2,069,100"
"Jul 26, 2019","1,228.00","1,268.39","1,228.00","1,245.22","1,245.22","6,060,800"
"Jul 25, 2019","1,138.95","1,143.59","1,123.71","1,135.94","1,135.94","2,738,100"
"Jul 24, 2019","1,132.62","1,145.46","1,128.51","1,139.73","1,139.73","1,359,600"
"Jul 23, 2019","1,143.45","1,148.86","1,132.85","1,148.05","1,148.05","1,032,400"
"Jul 22, 2019","1,135.47","1,140.02","1,125.21","1,139.21","1,139.21","1,445,700"
"Jul 19, 2019","1,149.32","1,151.58","1,131.25","1,131.55","1,131.55","1,159,200"
"Jul 18, 2019","1,142.00","1,148.17","1,132.86","1,147.24","1,147.24","1,272,500"
"Jul 17, 2019","1,150.92","1,158.44","1,146.62","1,146.74","1,146.74","976,900"
"Jul 16, 2019","1,146.73","1,158.58","1,146.73","1,153.46","1,153.46","1,267,600"
"Jul 15, 2019","1,145.34","1,150.68","1,140.00","1,150.51","1,150.51","1,058,200"
"Jul 12, 2019","1,142.93","1,147.50","1,138.56","1,145.34","1,145.34","1,093,900"
"Jul 11, 2019","1,146.16","1,153.24","1,139.53","1,144.08","1,144.08","1,300,200"
"Jul 10, 2019","1,132.32","1,142.34","1,130.66","1,140.91","1,140.91","1,535,500"
"Jul 09, 2019","1,110.32","1,127.86","1,107.15","1,124.29","1,124.29","1,473,600"
"Jul 08, 2019","1,125.87","1,127.21","1,111.76","1,116.79","1,116.79","1,494,400"
"Jul 05, 2019","1,119.37","1,134.65","1,117.50","1,132.67","1,132.67","1,489,700"
"Jul 03, 2019","1,118.50","1,127.99","1,114.85","1,122.99","1,122.99","1,007,700"
"Jul 02, 2019","1,104.83","1,112.89","1,099.67","1,112.60","1,112.60","1,031,500"
"Jul 01, 2019","1,101.04","1,108.59","1,095.33","1,100.00","1,100.00","1,459,800"
"Jun 28, 2019","1,077.23","1,082.80","1,073.80","1,082.80","1,082.80","1,683,600"
"Jun 27, 2019","1,086.75","1,088.46","1,075.85","1,076.63","1,076.63","1,203,900"
"Jun 26, 2019","1,091.00","1,095.12","1,073.69","1,080.32","1,080.32","1,734,900"
"Jun 25, 2019","1,115.08","1,115.70","1,084.60","1,087.58","1,087.58","1,582,200"
"Jun 24, 2019","1,120.00","1,123.57","1,113.31","1,116.70","1,116.70","1,211,800"
"Jun 21, 2019","1,109.86","1,126.57","1,109.72","1,125.37","1,125.37","2,538,700"
"Jun 20, 2019","1,121.70","1,122.72","1,107.00","1,113.20","1,113.20","1,200,900"
"Jun 19, 2019","1,107.24","1,109.43","1,096.03","1,104.51","1,104.51","1,335,700"
"Jun 18, 2019","1,111.50","1,118.78","1,100.79","1,105.24","1,105.24","1,726,300"
"Jun 17, 2019","1,089.10","1,101.28","1,088.00","1,093.89","1,093.89","988,500"
"Jun 14, 2019","1,089.74","1,094.76","1,081.48","1,086.30","1,086.30","1,229,100"
"Jun 13, 2019","1,084.71","1,096.59","1,082.57","1,091.01","1,091.01","1,040,700"
"Jun 12, 2019","1,079.95","1,082.52","1,069.60","1,079.10","1,079.10","1,183,500"
"Jun 11, 2019","1,096.99","1,104.01","1,079.57","1,081.04","1,081.04","1,675,400"
"Jun 10, 2019","1,077.00","1,094.84","1,075.28","1,082.76","1,082.76","1,425,500"
"Jun 07, 2019","1,054.28","1,073.43","1,051.15","1,068.37","1,068.37","2,191,400"
"Jun 06, 2019","1,046.21","1,050.00","1,035.51","1,047.76","1,047.76","1,451,000"
"Jun 05, 2019","1,055.00","1,056.81","1,033.00","1,044.64","1,044.64","2,349,400"
"Jun 04, 2019","1,044.49","1,058.44","1,036.03","1,054.49","1,054.49","3,025,600"
"Jun 03, 2019","1,066.93","1,067.00","1,027.03","1,038.74","1,038.74","4,844,500"
"May 31, 2019","1,105.64","1,113.40","1,103.35","1,106.50","1,106.50","1,579,100"
